         138206233 function calls (137099009 primitive calls) in 2668.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31590    0.926    0.000   21.658    0.001 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:307(run_dynamics)
      768    0.891    0.001    2.329    0.003 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_matrices.py:87(__init__)
    35512    0.864    0.000    0.864    0.000 {method 'astype' of 'numpy.ndarray' objects}
      348    0.852    0.002 2627.734    7.551 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\environment.py:51(_step)
     2304    0.832    0.000    0.832    0.000 {built-in method scipy.sparse._sparsetools.expandptr}
     3840    0.778    0.000    0.778    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
      768    0.768    0.001    0.768    0.001 {built-in method scipy.sparse._sparsetools.csr_eliminate_zeros}
      768    0.761    0.001 2591.312    3.374 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\problems\problem.py:396(solve)
     1536    0.753    0.000    0.753    0.000 {built-in method cplex._internal.py37_cplex2010.free_CHBmat}
      768    0.741    0.001  294.313    0.383 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\chain.py:54(apply)
26880/21504    0.673    0.000   75.285    0.004 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\compressed.py:27(__init__)
  1293312    0.544    0.000    1.109    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_aux_functions.py:84(validate_arg_lengths)
  1557436    0.530    0.000    5.772    0.000 <__array_function__ internals>:2(sum)
   765499    0.509    0.000    0.759    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\networkx\convert_matrix.py:1403(<genexpr>)
      768    0.484    0.001   12.392    0.016 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\qp2quad_form\qp_matrix_stuffing.py:158(apply_parameters)
     2304    0.459    0.000   11.832    0.005 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\cvxcore\python\canonInterface.py:180(get_matrix_from_tensor)
  7861915    0.433    0.000    0.433    0.000 {method 'append' of 'list' objects}
        1    0.404    0.404    0.404    0.404 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContext}
  1631703    0.397    0.000    0.397    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
  2627328    0.376    0.000    0.376    0.000 {built-in method cplex._internal.py37_cplex2010.doubleArray___getitem__}
     1536    0.361    0.000    1.009    0.001 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_list_array_utils.py:82(<listcomp>)
     1536    0.324    0.000    0.324    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\solvers\qp_solvers\cplex_qpif.py:11(constrain_cplex_infty)
     1050    0.307    0.000    2.706    0.003 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:496(_update_network_properties)
